fecha,zona_prov,clae2,w_mean
2007-01-01,CORDOBA,37,1242
2007-01-01,CORDOBA,38,2478
2007-01-01,CORDOBA,41,954
2007-01-01,CORDOBA,42,1542
2007-01-01,CORDOBA,43,1032
2007-01-01,CORDOBA,45,1733
2007-01-01,CORDOBA,46,1451
2007-01-01,CORDOBA,47,1265
2007-01-01,CORDOBA,49,2070
2007-01-01,CORDOBA,50,2978
2007-01-01,CORDOBA,51,2110
2007-01-01,CORDOBA,52,1694
2007-01-01,CORDOBA,53,2217
2007-01-01,CORDOBA,55,1113
2007-01-01,CORDOBA,56,895
2007-01-01,CORDOBA,58,2889
2007-01-01,CORDOBA,59,1242
2007-01-01,CORDOBA,60,2545
2007-01-01,CORDOBA,61,2571
2007-01-01,CORDOBA,62,1682
2007-01-01,CORDOBA,63,1553
2007-01-01,CORDOBA,64,4271
2007-01-01,CORDOBA,65,2443
2007-01-01,CORDOBA,66,1387
2007-01-01,CORDOBA,68,1367
2007-01-01,CORDOBA,69,1311
2007-01-01,CORDOBA,70,1184
2007-01-01,CORDOBA,71,964
2007-01-01,CORDOBA,72,1288
2007-01-01,CORDOBA,73,1352
2007-01-01,CORDOBA,74,994
2007-01-01,CORDOBA,75,928
2007-01-01,CORDOBA,77,2638
2007-01-01,CORDOBA,78,1325
2007-01-01,CORDOBA,79,1224
2007-01-01,CORDOBA,80,1324
2007-01-01,CORDOBA,81,729
2007-01-01,CORDOBA,82,1217
2007-01-01,CORDOBA,85,1003
2007-01-01,CORDOBA,86,1541
2007-01-01,CORDOBA,87,1205
2007-01-01,CORDOBA,88,1119
2007-01-01,CORDOBA,90,822
2007-01-01,CORDOBA,91,924
2007-01-01,CORDOBA,92,1699
2007-01-01,CORDOBA,93,1052
2007-01-01,CORDOBA,94,1613
2007-01-01,CORDOBA,95,1154
2007-01-01,CORDOBA,96,951
2007-01-01,CORDOBA,999,1078
2007-01-01,CORRIENTES,1,886
2007-01-01,CORRIENTES,2,750
2007-01-01,CORRIENTES,3,938
2007-01-01,CORRIENTES,8,1562
2007-01-01,CORRIENTES,9,730
2007-01-01,CORRIENTES,10,1647
2007-01-01,CORRIENTES,11,3352
2007-01-01,CORRIENTES,12,2912
2007-01-01,CORRIENTES,13,1752
2007-01-01,CORRIENTES,14,1119
2007-01-01,CORRIENTES,15,695
2007-01-01,CORRIENTES,16,1647
2007-01-01,CORRIENTES,17,2120
2007-01-01,CORRIENTES,18,1101
2007-01-01,CORRIENTES,19,-99
2007-01-01,CORRIENTES,20,2149
2007-01-01,CORRIENTES,21,7964
2007-01-01,CORRIENTES,22,1014
2007-01-01,CORRIENTES,23,947
2007-01-01,CORRIENTES,24,-99
2007-01-01,CORRIENTES,25,1145
2007-01-01,CORRIENTES,26,1381
2007-01-01,CORRIENTES,27,2704
2007-01-01,CORRIENTES,28,5427
2007-01-01,CORRIENTES,29,960
2007-01-01,CORRIENTES,30,1584
2007-01-01,CORRIENTES,31,956
2007-01-01,CORRIENTES,32,934
2007-01-01,CORRIENTES,33,794
2007-01-01,CORRIENTES,35,5146
2007-01-01,CORRIENTES,36,1904
2007-01-01,CORRIENTES,37,-99
2007-01-01,CORRIENTES,38,-99
2007-01-01,CORRIENTES,41,915
2007-01-01,CORRIENTES,42,1681
2007-01-01,CORRIENTES,43,782
2007-01-01,CORRIENTES,45,1858
2007-01-01,CORRIENTES,46,1356
2007-01-01,CORRIENTES,47,1129
2007-01-01,CORRIENTES,49,1587
2007-01-01,CORRIENTES,50,4866
2007-01-01,CORRIENTES,51,3974
2007-01-01,CORRIENTES,52,1231
2007-01-01,CORRIENTES,53,2459
2007-01-01,CORRIENTES,55,1101
2007-01-01,CORRIENTES,56,1011
2007-01-01,CORRIENTES,58,1341
2007-01-01,CORRIENTES,59,665
2007-01-01,CORRIENTES,60,1489
2007-01-01,CORRIENTES,61,2517
2007-01-01,CORRIENTES,62,1506
2007-01-01,CORRIENTES,63,-99
2007-01-01,CORRIENTES,64,3420
2007-01-01,CORRIENTES,65,2632
2007-01-01,CORRIENTES,66,1982
